content,sentiment,processed
"Giao hàng nhanh,sản phẩm ngon,shipper thân thiện",pos,giao hàng sản_phẩm ngon shipper thân_thiện
"bánh tráng rất ngon,, sẽ ủng hộ típ",pos,bánh_tráng ngon ủng_hộ típ
Luôn Chọn Quán Khi Muốn Ăn Chay ❤️,pos,quán ăn_chay ❤ ️
"Trà sữa ở đây ngon ghê, sẽ đặt nhiều lần",pos,trà sữa ngon ghê
Chụp hơi mờ 😊😊 mà rất ngon 😊😊😊🥰😘,pos,chụp hơi mờ 😊 😊 ngon 😊 🥰 😘
"Giá cả vừa phải, uống cũng oke nhé",pos,giá_cả uống oke
"Nước lèo rất là ngon luôn, vừa miệng. Tuy nhiên mắc xíu, 40k có nhiêu đây thôi",pos,nước_lèo ngon vừa_miệng tuy_nhiên mắc xíu 40k nhiêu
khá ok và no,pos,khá ok no
"thức uống ngon, tôi cảm thấy hài lòng!",pos,thức uống ngon cảm_thấy hài_lòng
giao hàng nhanh,pos,giao hàng
được. sẽ ủng hộ quài,pos,ủng_hộ quài
ngon ok ik,pos,ngon ok ik
"đồ ăn ngon, quán sạch sẽ chu đáo, 10đ",pos,đồ ngon quán sạch_sẽ chu_đáo 10đ
Ngon và rẻ quán nhé,pos,ngon rẻ quán
ngonnn rất ngon,pos,ngon ngon
"Lần đầu ăn, ngon nha xứng đáng giá tiền , nhiều ú ụ vừa miệng lắm đậu phộng đồ chua đầy đủ okkk sẽ ủng hộ lâu dài",pos,đầu ngon nha xứng_đáng_giá tiền ú ụ vừa_miệng lắm đậu_phộng đồ chua đầy_đủ ok ủng_hộ lâu_dài
Đồ ăn vừa phải. Đóng gói đẹp. Chú ý lần sau làm nhạt tí. Mình ăn nhạt lắm. OK cảm ơn nhiều.,pos,đồ đóng_gói đẹp chú_ý nhạt tí nhạt lắm ok cảm_ơn
"Ngon lắm luôn á chời!! Tôm tươi, heo quay ít mỡ, trộn mặn mặn ngọt ngọt dễ ăn",pos,ngon lắm chời tôm tươi heo mỡ trộn mặn mặn
"giao hàng nhanh,đồ ăn ngon ạ",pos,giao hàng đồ ngon
Đồ uống khá ok,pos,đồ uống khá ok
trà sữa ngon có tiếng đó giờ. giá thành phù hợp túi tiền sinh viên,pos,trà sữa ngon tiếng giá_thành phù_hợp túi_tiền sinh_viên
mlem mlem trên cả tuyệt vời,pos,mlem mlem tuyệt_vời
ngon mà rẻ lắm luôn,pos,ngon rẻ lắm
ngon bổ rẻ,pos,ngon bổ rẻ
"cháo nhiều thịt nhiều,,,chất lượng",pos,cháo thịt chất_lượng
"nhìn hình nói lên tất cả , ổn áp",pos,hình tất_cả ổn_áp
Trên cả tuyệt vời 💕,pos,tuyệt_vời 💕
25k như vậy là ngon rồi ạ. Hoa quả tươi. Mình khá hài lòng,pos,25k như_vậy ngon hoa_quả tươi khá hài_lòng
rất thích cửa hàng này,pos,cửa_hàng
"lần trước e mới kêu ko có thạch cá, lần này đặt lại topping ú nụ luôn, tuyệt cú mèo ạ. iu quán.",pos,e kêu không thạch cá topping ú nụ tuyệt cú_mèo iu quán
"ngon, vừa miệng, đầy đủ. sẽ ủng hộ tiếp",pos,ngon vừa_miệng đầy_đủ ủng_hộ tiếp
Full topping. Ngon lắm nha🥰🥰,pos,full topping ngon lắm nha 🥰 🥰
Mình note ít ngọt nên uống rất vừa miệng. Ngon thực sự. Miếng dâu giòn giòn sựt sựt không bị mềm.,pos,note uống vừa_miệng ngon thực_sự miếng dâu giòn giòn sựt sựt không mềm
"Ta nói ......trà sữa ji mà ngon quá zị,sẽ ủng hộ lần tiếp theo",pos,ta trà sữa ji ngon zị ủng_hộ tiếp_theo
ngon lắm ạ,pos,ngon lắm
"ngon, 10đ, tuyệt vời",pos,ngon 10đ tuyệt_vời
"ngon, vừa ăn , 1 phần khá nhiều , sẽ ủng hộ quán tiếp",pos,ngon 1 khá ủng_hộ quán tiếp
Ngon lắm luôn,pos,ngon lắm
Ngon lắm mn ơi🥰,pos,ngon lắm mn 🥰
Sale rẻ 👍👍👍,pos,sale rẻ 👍
ngonnnnnn xịnnnn mịnnnn,pos,ngon xịn mịn
phục vụ chu đáo,pos,phục_vụ chu_đáo
rất hài lòng,pos,hài_lòng
trà đào ngon và nhiều ạ! hihi.,pos,trà đào ngon hihi
nhân viên nhiệt tình dễ thương,pos,nhân_viên nhiệt_tình dễ_thương
cafe uống mạnh vãi đái,pos,cafe uống vãi đái
"ngon, giao nhanh",pos,ngon giao
"cũm đc ạ , giòn nóng và ngon",pos,cũm đc giòn nóng ngon
quán đáng yêu lắm:33,pos,quán yêu lắm 33
"Tuyệt vời, rất ngon, cho 5 sao",pos,tuyệt_vời ngon 5
Ngonnn tuyệt vờiii,pos,ngon tuyệt_vời
Mình đã uống lần này lần thứ 5 rồi rất ngon và nguyên chất uống không ngọt lắm vừa miệng nói chung ngon bổ rẻ chất lượng ép trái cây nguyên chất nữa,pos,uống 5 ngon nguyên_chất uống không lắm vừa_miệng nói_chung ngon bổ rẻ chất_lượng ép trái_cây nguyên_chất
vẫn ngon như mọi ngày❤❤❤,pos,ngon ❤
Đồ uống rất ngon.,pos,đồ uống ngon
"Trà sữa rất ngon, rẻ nữa, mình thường hay mua ở tiệm này, mn nên thử nha 😁",pos,trà sữa ngon rẻ mua tiệm mn thử nha_😁
ngon bổ rẻ.thanks cửa hàng.,pos,ngon bổ rẻ thanks cửa_hàng
"ngon tuyệt vời í trời ơi, thêm topping nha đam là hoàn hảo rồi",pos,ngon tuyệt_vời í trời topping nha đam hoàn_hảo
"hôm qua đặt quán giao thiếu trân châu 
nay quán bù lại cho mình thêm ly khác 
rất thích cách làm việc của quán",pos,hôm_qua quán giao trân_châu quán bù ly khác làm_việc quán
"ăn cũng tạm được, shipper thân thiện, giao hàng nhanh lắm ạ :3",pos,tạm shipper thân_thiện giao hàng lắm 3
đồ uống ngon,pos,đồ uống ngon
Bánh căn nóng ngon nha,pos,bánh nóng ngon nha
Ok ngon vì lần 2 uống trà sữa này,pos,ok ngon 2 uống trà sữa
rất hài lòng...❤,pos,hài_lòng ❤
ăn lần đầu nhưng khá ngon ạ,pos,đầu khá ngon
"bò hầm rất mềm mùi vị chuẩn của món bò kho,bánh mì cũng nóng đồng đều,rau nhiều tươi quán rất chuyên nghiệp .like quán",pos,bò hầm mềm mùi_vị chuẩn món bò kho bánh_mì nóng đồng_đều rau tươi quán chuyên_nghiệp like quán
cảm ơn quán ăn đêm,pos,cảm_ơn quán đêm
rất hài lòng,pos,hài_lòng
ngon nhức nách,pos,ngon nhức nách
ngon ngon và nhanh,pos,ngon ngon
ngon nha ae,pos,ngon nha_ae
Cơm ăn ngon. Rau Sạch.,pos,cơm ngon rau_sạch
Hôm nay quán cho ít đồ hơn nhưng khẩu vị vẫn ok,pos,hôm_nay quán đồ khẩu_vị ok
"Ngày nào cũng ăn bún đậu, nghiện rồi",pos,bún đậu nghiện
"Ngon, đầy đặn lắm ạ ^^",pos,ngon đầy_đặn lắm
"lấy tạm ảnh khác, cơm nhiều nè",pos,tạm ảnh khác cơm nè
"Siêu ngon, siêu xịn",pos,siêu ngon siêu xịn
"Mỳ ngon, phục vụ tốt",pos,mỳ ngon phục_vụ tốt
2 tỷ saooooooo 🌻🌼,pos,2 tỷ 🌻 🌼
quán bán vì đam mê hay sao vậy 🤣..phần 25k mà có canh chất lượng như này...rau kèm thì tươi..đồ ăn nhiều nữa...sẽ ủng hộ dài dài 🥰,pos,quán đam_mê 🤣 25k canh chất_lượng rau kèm tươi đồ ủng_hộ dài_dài 🥰
"Món rất ngon, sạch sẽ vệ sinh 😍 chúc shop mua may bán đắt nhé 👏👏👏👏👏",pos,món ngon sạch_sẽ vệ_sinh 😍 chúc shop mua may đắt 👏
"ngon, nóng , sạch sẽ và nhiều",pos,ngon nóng sạch_sẽ
ngon nha cả nhà,pos,ngon nha
cũng tạm ổn,pos,tạm ổn
ok tàm tạm,pos,ok tàm_tạm
"vui vẻ,thân thiện",pos,vui_vẻ thân_thiện
Quán mới khai trương được giảm giá nên mình order thử nhưng chất lượng hơn cả mong đợi ạ sẽ ủng hộ quán lần sau nữa 👍👍👍,pos,quán khai_trương giảm_giá order thử chất_lượng mong_đợi ủng_hộ quán 👍
ok rất ngon,pos,ok ngon
ngonnnnnn lắm lun,pos,ngon lắm lun
"Bánh ngon, đẹp như hình. Chả ngon. Quên chụp hình.",pos,bánh ngon đẹp hình chả ngon quên chụp hình
"tạm ổn, ..",pos,tạm ổn
rất ngon và còn nóng nha,pos,ngon nóng nha
"hài lòng, ăn cũng đc nha",pos,hài_lòng đc nha
"Ly sữa chua 0 đồng nhưng nhiều, ngon, sạch sẽ. Service 10 điểm, mình ăn milo dầm đây lâu lắm rồi, siêu ngon luôn. 10 điểm cho quán nha",pos,ly sữa_chua 0 đồng ngon sạch_sẽ service 10 milo dầm lắm siêu ngon 10 quán nha
Rất rất ngon,pos,ngon
Bánh mì ngonn,pos,bánh_mì ngonn
Ok có dịp ủng hộ nữa nhé quán ơi ahihihi ahihihi ahihihi ahihihi,pos,ok dịp ủng_hộ quán ahihihi ahihihi ahihihi ahihihi
ún ngon hihi,pos,ún ngon hihi
"Mình gọi cơm thập cẩm 35k, ăn khá ổn.",pos,gọi cơm thập_cẩm 35k khá ổn
Bánh mì ngon,pos,bánh_mì ngon
ngon lắm nha,pos,ngon lắm nha
"thích kem trứng ở đây dễ sợ, mềm thơm béo, sẽ ghé lại lần sau",pos,kem trứng sợ mềm thơm béo ghé
"Quá ngonn, siêu nhiều, sạch sẽ 🙆‍♀️",pos,ngonn siêu sạch_sẽ 🙆 ‍ ♀ ️
rất rất nhiều 🤪🕒5q,pos,🤪 🕒 5q
Ngon ngon ngon,pos,ngon ngon ngon
Ok ạ nma hơi ngọt đối với e:)),pos,ok nma hơi đối_với evui
"Ngon,béo nhưng mà e cảm thấy hơi ngọt ạ😍",pos,ngon béo e cảm_thấy hơi 😍
mờ lemm mờ lemmmm quá,pos,mờ lemm mờ lem
Tốt  Ngon Sạch,pos,tốt ngon sạch
trà sữa rất ok vị ngọt vừa,pos,trà sữa ok vị
chất lượng cao,pos,chất_lượng
"Rất ngon miệng, sạch sẽ vệ sinh, quán phục vụ tốt, cho quán 5 sao ⭐⭐⭐⭐⭐.",pos,ngon_miệng sạch_sẽ vệ_sinh_quán phục_vụ tốt quán 5 ⭐
"ngon lắm nha mn,nên ăn",pos,ngon lắm nha mn
cơm oke lắm,pos,cơm oke lắm
"trà sữa ngon, giao hàng nhanh",pos,trà sữa ngon giao hàng
"ngon, phục vụ chu đáo",pos,ngon phục_vụ chu_đáo
cơm ngon lắm ạ,pos,cơm ngon lắm
"Hơi ngọt mà tan đá tí thì vừa, ủng hộ shop nhé",pos,hơi tan đá tí ủng_hộ shop
"cháo ngon, vẫn nóng hổi khi đến tay khách, an toàn vệ sinh. 10 điểm cho quán và chất lượnggggg",pos,cháo ngon nóng_hổi an_toàn vệ_sinh 10 quán chất_lượng
ăn ở đây mấy lần rùi ạ ngon lắm,pos,ăn_ở mấy rùi ngon lắm
Ngon. Thanh mát.  Giảm cân nhanh. 😊😊,pos,ngon mát cân 😊 😊
ngon ưng luôn,pos,ngon ưng
quán này ngon quá,pos,quán ngon
Trà Sữa Ngon Lắm con rất thích.,pos,trà sữa ngon lắm
quá tuyệt vời,pos,tuyệt_vời
"Đồ uống ngon, đậm vị trà 🥰",pos,đồ uống ngon đậm vị trà_🥰
Cơm ngon xuất sắc luôn,pos,cơm ngon xuất_sắc
"Trà Nhãn ngon xỉu trời ơi , thanh mát mà nhãn được đông đá nhẹ nhai giòn giòn",pos,trà nhãn ngon xỉu trời mát nhãn đông đá nhẹ nhai giòn giòn
ngon lắm ủng hộ,pos,ngon lắm ủng_hộ
"ship nhanh, đóng gói cẩn thận",pos,ship đóng_gói cẩn_thận
Nêm nếm oke nhưng muốn nước kẹo lại,pos,nêm nếm oke kẹo_lại
"đồ uống ngon, rẻ, mình đã đặt rất nhiều lần, khách quen của quán",pos,đồ uống ngon rẻ quen quán
ngon nhưng cay quá,pos,ngon cay
"Đồ sạch sẽ, nhiều, hợp khẩu vị. Quán ruột 🥰🥰🥰",pos,đồ sạch_sẽ hợp_khẩu_vị quán ruột 🥰
đóng gói cẩn thận rất ngon,pos,đóng_gói cẩn_thận ngon
ngon xuất xắc,pos,ngon xuất xắc
ngon nhưng mà shop nhớ bỏ khăn giấy cho khách nha,pos,ngon shop khăn giấy nha
"ngon, thơm mùi gà, gà trắng",pos,ngon thơm mùi gà_gà trắng
"chè ngon, shipper giao hàng nhanh,vui vẻ.",pos,chè ngon shipper giao hàng vui_vẻ
"ngon nha, nhưng hơi cay xíu",pos,ngon nha hơi cay_xíu
"ngon đồ ăn vừa ,mong quán lsau cho e xin viên kẹo cao su nhai đỡ có mùi mắm tôm 😂😂👍👍👍",pos,ngon đồ mong quán lsau e viên kẹo_cao_su nhai đỡ mùi mắm_tôm 😂 😂 👍
Rất là ngon!,pos,ngon
Mình mua dùm bạn nên quên chụp lại mất. Nhưng nhìn cách đóng gói thì chắc hẳn cũng khá oke. Mọi người nên thử xem sao,pos,mua dùm quên chụp đóng_gói chắc_hẳn khá oke thử
rất là ngon,pos,ngon
"ngon, đầy đặn, bún ngon lắm",pos,ngon đầy_đặn bún ngon lắm
trà sữa ngon ....,pos,trà sữa ngon
rất ngon rất rất hài lòng,pos,ngon hài_lòng
rất là ngon,pos,ngon
quán bán thức ăn ngon,pos,quán thức_ăn ngon
Ăn cũng vừa miệng . Thấy quán nhiệt tình . Xin thêm rau ớt đều cho quá trời,pos,vừa_miệng quán nhiệt_tình rau ớt trời
Ngon đỉnh luôn mng ơiii.,pos,ngon đỉnh mng
"Đầy đặn,sạch sẽ",pos,đầy_đặn sạch_sẽ
rất hài lòng,pos,hài_lòng
ngon lắm luôn,pos,ngon lắm
ngon sẽ đặt lại,pos,ngon
ok ok ik,pos,ok ok ik
Ăn cũng đc,pos,đc
khá ngon ạ,pos,khá ngon
rất ngon cảm ơn,pos,ngon cảm_ơn
"Bánh tráng dẻo sợi ngon, nhận hàng đầy đủ. Ớt rim của quán ngon. Quán bán phần ớt rim nhiều  hơn sẽ dễ mua hơn ạ ❤️",pos,bánh_tráng dẻo sợi ngon hàng đầy_đủ ớt rim quán ngon quán ớt rim mua ❤ ️
Trà sữa ngon lắm ạ,pos,trà sữa ngon lắm
Ngon bổ rẻ,pos,ngon bổ rẻ
ngon nha moi nguoi,pos,ngon nha moi nguoi
cảm ơn anh trai dằm mưa ship trà sữa cho em,pos,cảm_ơn anh_trai dằm mưa ship trà sữa
"rất ok, sẽ ủng hộ tiếp",pos,ok ủng_hộ tiếp
Sinh tố ngọt quá.,pos,sinh_tố
rất ngon luôn,pos,ngon
ok lắm nha,pos,ok lắm nha
cơm ngon dẻo giống gạo quê mình,pos,cơm ngon dẻo gạo quê
"Đã nói quá nhiều rồi, nói chung là ngon, vừa miệng, hợp giá, ít dầu lại.",pos,nói_chung ngon vừa_miệng hợp giá dầu
ê tui thấy giá rẻ mà còn ngon nữa. Má ơi đặt lần đầu thôi mà chắc giờ làm khách ruột luôn quá. Mãi iu 🎀,pos,ê tui giá rẻ ngon má đầu làm_khách ruột mãi iu 🎀
rất tốt và ngon,pos,tốt ngon
"rất tốt, tuyệt",pos,tốt tuyệt
Ngon và giao hàng nhanh,pos,ngon giao hàng
"10 điểm, đồ ăn nhiều lắm luôn",pos,10 đồ lắm
uống ngon ok,pos,uống ngon ok
Món ngon khá là nhiều cũng không biết do mình ăn ít mà cảm thấy nhiều hay gì mình cố ăn hết luôn á,pos,món ngon khá không cảm_thấy cố
Ngon sẽ là khách hàng trung thành của quán,pos,ngon khách_hàng trung_thành quán
Ngon ngon ngon,pos,ngon ngon ngon
"Hình sao “hàng” vậy. Trân châu mềm, kem trứng và phần dừa nướng làm trà sữa ngon gấp đôi. Đáng thử ✨✨✨",pos,hình “ hàng ” trân_châu mềm kem trứng dừa nướng trà sữa ngon gấp đôi thử ✨
ngon bổ rẻ,pos,ngon bổ rẻ
Hạt gạo rời mềm. Thịt ướp vừa ăn,pos,hạt gạo rời mềm thịt ướp
Bánh không được giòn lắm nhưng vẫn khá ngon,pos,bánh không giòn lắm khá ngon
ngon rẻ tuyệt vời,pos,ngon rẻ tuyệt_vời
"ngon lắm, đặt lần thứ n lun",pos,ngon lắm n lun
ngon lành cành đào ạ,pos,ngon_lành cành đào
trà dâu tuyệt vời nhất từ trước giờ em uống ah,pos,trà_dâu tuyệt_vời uống ah
rất hợp khẩu vị,pos,hợp_khẩu_vị
ngon . trong khu phong toả mà ăn ntn là tuyệt vời,pos,ngon khu phong_toả ntn tuyệt_vời
"giá rẻ, thức uống ngon",pos,giá rẻ thức uống ngon
ngonn thật ấy,pos,ngonn
rất rất hài lòng,pos,hài_lòng
rất oke oke,pos,oke oke
Hi cảm ơn quán nhiều lắm rất là ngon tới miếng cuối cùng luôn kkkk nhìn rất hấp dẫn,pos,hi cảm_ơn quán lắm ngon miếng cuối_cùng không hấp_dẫn
Trà xanh colagen vitamin c ngon nè  mọi người ! Mình uống 30% đường thì dc mà các bạn muốn tăng thêm cũng có 50% đường . Có đủ loại .,pos,trà xanh colagen vitamin c ngon nè uống 30 đường dc 50 đường
Rất ngon nha !!!,pos,ngon nha
Ngon nhưng hơi mặn 👍,pos,ngon hơi mặn 👍
luôn luôn là điểm bán bánh tráng ok nhất,pos,luôn_luôn bánh_tráng ok
cơm ngon nhưng đặt gà chiên nước mắm lại giao nhầm gà sốt! Nhưng bù lại cũng ngon,pos,cơm ngon gà chiên nước_mắm giao nhầm gà sốt bù ngon
"Shipper giao nhanh, trà sữa ngon, nhất là trân châu",pos,shipper giao trà sữa ngon nhất_là trân_châu
"Cơm tấm sườn nhỏ, canh rong biển, nước mắm ngon, vừa vị. Thịt ướp ngonnnn!!!",pos,cơm sườn canh rong biển nước_mắm ngon vị thịt ướp ngon
"Ngon, rẻ, phù hợp học sinh, sinh viên, sẽ ủng hộ tiếp, đã uống nhiều lần và rất ghiền cái hương vị hồi xưa",pos,ngon rẻ phù_hợp học_sinh sinh_viên ủng_hộ tiếp uống ghiền hương_vị hồi xưa
"tuyệt vời, ảnh chỉ mang tính chất minh họa",pos,tuyệt_vời ảnh tính_chất minh_họa
bún ngon vừa ăn,pos,bún ngon
"Trà sữa đậm vị trà, hơi nhạt vị sữa. Trân châu mềm.",pos,trà sữa đậm vị trà hơi nhạt vị sữa trân_châu mềm
"Lần đầu uống thử, ngon nhaaa",pos,đầu uống thử ngon nha
Bánh mì ngon. sạch đảm bảo vs giá cả hợp lý,pos,bánh_mì ngon sạch đảm_bảo vs giá_cả hợp_lý
tuyệt vời.sẽ ủng hộ tiếp,pos,tuyệt_vời ủng_hộ tiếp
"ly rất nhiều topping, to nữa. ai ko thích ngọt dặn ko đường như mình cho vừa vị",pos,ly topping to không dặn không đường vị
Đầy đặn sạch sẽ ngon lắm,pos,đầy_đặn sạch_sẽ ngon lắm
"Ngon ạ, cám ơn",pos,ngon cám_ơn
giao hàng nhanh,pos,giao hàng
ngon quá trời,pos,ngon trời
"xôi dẻo và thơm lắm nha với lại topping đầy ú ụ luôn, lần sau chắc chắn ủng hộ tiếp",pos,xôi dẻo thơm lắm nha topping ú ụ chắc_chắn ủng_hộ tiếp
cơm rất ngon rất xịn,pos,cơm ngon xịn
"cơm  ngon lắmmm
ăn hết rồi nên chụp đỡ canh
shipper thân thiện",pos,cơm ngon lắmăn chụp đỡ canhshipper thân_thiện
trà việt quyết rất ngon ạ mình hài lòng,pos,trà việt quyết ngon hài_lòng
ngon tuyệt vời,pos,ngon tuyệt_vời
ngon tuyệt zời,pos,ngon tuyệt zời
hài lòng.anh ship hàng cũng rất lịch sự.sẽ ủng hộ quán lâu dài,pos,hài_lòng ship hàng lịch_sự ủng_hộ quán lâu_dài
rất hài lòng,pos,hài_lòng
Chân gà với nước ở đây ngon xuất sắc 😋,pos,chân gà ngon xuất_sắc 😋
"ngon rẻ, giảm 25% nên còn 18k thôi, đáng tiềnnn",pos,ngon rẻ 25 18k tiền
khá hài lòng,pos,khá hài_lòng
Cà phê chất lượng,pos,cà_phê chất_lượng
Rất ngon nha cả nhà ^^ đc để riêng ra,pos,ngon nha đc
"Ổn . Thiếu tương ớt mặc dù đã đặt , nhưng ko sao , ổn áp",pos,ổn tương_ớt mặc_dù không ổn_áp
đáng đồng tiền,pos,đồng_tiền
Cơm ngon ạ,pos,cơm ngon
Trà sữa ngon. Cảm ơn shop bữa sau ủng hộ tiếp,pos,trà sữa ngon cảm_ơn shop bữa ủng_hộ tiếp
rất tốt bún bò rất ngon,pos,tốt bún_bò ngon
"trà sữa ngon, ship nhanh.",pos,trà sữa ngon ship
"Thức uống khá ổn, quán đọc ghi chú kỹ càng, gần nên giao hàng nhanh lắm. Cảm ơn quán nhé.",pos,thức uống khá ổn quán đọc ghi_chú kỹ_càng giao hàng lắm cảm_ơn quán
kem ngon lắm shop ơi,pos,kem ngon lắm shop
good good good,pos,good good good
"ngon, giao hàng nhanh",pos,ngon giao hàng
Ngon sẽ ủng hộ quán nữa,pos,ngon ủng_hộ quán
"Rất ngon, cho quán 5 sao ⭐⭐⭐⭐⭐. Chúc quán buôn may bán đắt nhé",pos,ngon quán 5 ⭐ chúc quán buôn may đắt
Đặt lần thứ 2,pos,2
tuyệt vời thanks,pos,tuyệt_vời thanks
rất là ngon,pos,ngon
Quán chất lượng nhất so với các quán quanh đây,pos,quán chất_lượng quán quanh
"sẽ ủng hộ thêm lần nữa vì trà sữa của quán ngon nhé, lần đầu uống duyệt luôn nha",pos,ủng_hộ trà sữa quán ngon đầu uống duyệt nha
nước uống ngon,pos,uống ngon
"lần đầu thử cơm gà nướng ngũ vị, ngon nha mn, gà mềm thấm vị, nước chấm chua chua cay cay, canh nóng hổi, ngon nhé",pos,đầu thử cơm gà nướng ngũ_vị ngon nha mn gà mềm thấm vị nước_chấm chua chua_cay cay canh nóng_hổi ngon
chất lượng nhé….,pos,chất_lượng …
"cơm nhiều, gà giòn nóng hổi với giá 30k   tạm ổn, tiếc ko có canh",pos,cơm gà giòn nóng_hổi giá 30k tạm ổn tiếc không canh
"Đặt mấy lần ở đây và thấy rất ok. Cơm nhiều, thơm, vệ sinh sạch sẽ. Có nước xốt, rau nhiều và cà chua như hình.",pos,mấy ok cơm thơm vệ_sinh sạch_sẽ nước_xốt rau cà_chua hình
trân châu ngon,pos,trân_châu ngon
lúc này ăn cơm tiệm này cũng thấy chất lượng ăn lần thứ mấy rồi ko nhớ giao hàng nhanh,pos,cơm tiệm chất_lượng mấy không giao hàng
ngon nhanh gọn,pos,ngon gọn
ngon bổ rẻ chúc làm ăn phát tài,pos,ngon bổ rẻ chúc làm_ăn phát_tài
hài lòng.rất ngon ạ,pos,hài_lòng ngon
"ăn mấy tiệm nay mới tìm đc chỗ này ngon nè, vị đậm đà, ngon.",pos,mấy tiệm đc chỗ ngon nè vị đậm_đà ngon
ngon và chất lượng tuyệt vời,pos,ngon chất_lượng tuyệt_vời
"Ngon 
Nói chung rẻ rất đáng để mua",pos,ngon nói_chung rẻ mua
Ngon sạch 👍👍👍👍👍,pos,ngon sạch 👍
ngon xuất sắc,pos,ngon xuất_sắc
món rất ngon - uống là Nghiện  :)),pos,món ngon uống nghiện vui
bánh ngon lắm lần sau sẽ ủng hộ quán nữa,pos,bánh ngon lắm ủng_hộ quán
Ngon nên mua,pos,ngon mua
"cơm đầy đủ, ngon",pos,cơm đầy_đủ ngon
Cơm lúc nào cũng ngon ạ,pos,cơm lúc_nào ngon
"ngon, tối hơi muộn rồi nhưng mà vẫn ship nhanh và còn nóng nha",pos,ngon tối hơi muộn ship nóng nha
"Gà ngon, nóng giòn, có thêm canh. nhìn chung là sạch sẽ, ngon miệng ạ",pos,gà ngon nóng giòn canh nhìn_chung sạch_sẽ ngon_miệng
Vị rất ngon,pos,vị ngon
"ngon, béo , thơm",pos,ngon béo thơm
vẫn ngon như ngày nào😋,pos,ngon 😋
ngon vừa miệng,pos,ngon vừa_miệng
